,distance,mean,sd
0,0.0,1.0,0.0
1,11.762544250763314,0.7279999161984115,0.028384825774906083
2,23.52508850152663,0.6246852910885262,0.02404880990077607
3,35.287632752289944,0.6074282913062041,0.02847188650083834
4,47.05017700305326,0.5066119911366095,0.043694296016515435
5,58.81272125381657,0.36023289312362605,0.044462136401495295
6,70.57526550457989,0.203307105612295,0.021122036506685073
7,82.3378097553432,0.13338344066224803,0.024741495387765752
8,94.10035400610651,0.08074223726767382,0.029413313314471338
9,105.86289825686983,0.039992590205113226,0.03972313949766619
10,117.62544250763314,0.03516067903739974,0.03571088607831693
11,129.38798675839647,0.05694730224436462,0.045657791390774714
12,141.15053100915978,0.04901710222981063,0.03598521534577205
13,152.9130752599231,0.03753738532737055,0.01881615448749389
14,164.6756195106864,0.03807587485400151,0.0268297819804661
15,176.43816376144972,0.03197796693689576,0.02664194165278948
16,188.20070801221303,0.04330164534916464,0.03144543704215613
17,199.96325226297634,0.03796996387293528,0.010460644919854063
18,211.72579651373965,0.03771086529573713,0.0273637452507628
19,223.48834076450296,,
