,cell_id,distance,channel_1,channel_2,channel_3,channel_4
0,1,8.671515624391628,891.5637949836423,684.257360959651,143.7546346782988,345.6412213740458
1,2,7.205677291537439,680.0768535262206,730.0614828209765,145.86075949367088,538.6148282097649
2,3,10.466530162793838,809.6521327014218,659.1450236966824,152.21042654028437,451.6436018957346
3,4,7.882391330624646,837.7152230971128,828.997375328084,173.29658792650918,387.86745406824144
4,5,15.37786977264875,679.384858044164,601.5678233438485,154.78548895899053,481.58464773922185
5,6,8.935321790777138,697.1459016393443,547.6147540983607,141.91967213114754,619.6147540983607
6,7,14.507428630408405,860.4700854700855,881.9094017094017,166.84615384615384,592.2974358974359
7,8,8.140045771098558,548.771167048055,438.20022883295195,134.20137299771167,486.1109839816934
8,9,7.2900535396583726,756.1489361702128,746.1194762684124,141.23076923076923,353.67266775777415
9,10,7.8586189231366035,792.5813648293963,606.2755905511812,169.40944881889763,478.3569553805774
10,11,14.702039157695223,806.7026022304833,815.3189591078067,205.26691449814126,401.9925650557621
11,12,10.646239738128141,850.5814814814814,892.6555555555556,179.7567901234568,415.6703703703704
12,13,15.714944305003828,747.7069892473119,797.385752688172,179.5241935483871,479.9301075268817
13,14,21.112666295080274,950.4814385150812,887.8816705336427,189.09164733178653,567.776102088167
14,15,19.888249179697812,1091.9668803418804,876.0438034188035,170.1196581196581,590.1324786324786
15,16,8.997204420020447,655.7172081829121,642.323706377858,141.7930204572804,463.71720818291215
16,17,23.010516999902052,1023.8699646643109,891.8049469964665,168.22756183745582,556.0508833922262
17,18,14.87228310793191,1032.2251572327043,1020.1503144654088,157.78301886792454,480.4125786163522
18,19,26.544149592460503,819.3898734177216,667.4835443037974,159.85696202531645,454.9177215189873
19,20,21.924097946419522,1136.9368635437881,1078.1252545824848,203.44093686354378,454.82892057026476
20,21,11.295048311404603,649.5416666666666,605.0260416666666,154.77864583333334,610.1822916666666
21,22,17.09948796159804,999.9012584704743,1154.1577928363988,217.2836398838335,540.0890609874153
22,23,7.938886179074779,670.6106194690266,371.27433628318585,139.52212389380531,667.9882005899705
23,24,23.61118153809896,1093.5052005943537,832.4167904903418,163.2518573551263,522.3402674591382
24,25,25.645392818596996,1172.0644468313642,884.8259935553168,222.6487647690655,397.83995703544576
25,26,18.832123640739855,775.532041728763,611.6572280178838,160.84798807749627,411.3964232488823
26,27,9.135870152847778,801.5859459459459,855.267027027027,160.36432432432431,511.7372972972973
27,28,9.531511252545696,1007.2813102119461,989.6743737957611,153.03082851637765,514.7957610789981
28,29,9.375949072519925,509.4110344827586,489.73241379310343,138.29931034482757,589.92
29,30,18.85737082662412,1005.5791788856305,1137.1818181818182,172.0234604105572,512.6686217008797
30,31,30.983232517991443,1130.8587301587302,793.5888888888888,212.2015873015873,547.9190476190477
31,32,15.836042592455575,912.3049242424242,766.2594696969697,178.0719696969697,483.5094696969697
32,33,18.772971236614897,1162.8111313868612,1079.3914233576643,183.36040145985402,487.1569343065693
33,34,32.9386408052944,1285.5762081784387,850.6232961586121,235.1449814126394,475.73358116480796
34,35,9.315136612860723,786.5211764705882,890.2694117647059,174.6635294117647,496.4152941176471
35,36,36.86908766665192,940.5010060362173,683.1146881287726,207.61770623742456,506.79678068410465
36,37,27.30413644652077,1163.881679389313,918.7206106870229,163.18702290076337,483.07862595419846
37,38,30.051673507961095,859.3888268156425,847.2614525139664,205.71061452513968,506.0860335195531
38,39,9.850153327066096,800.1082926829268,681.3717073170732,162.10048780487804,553.0653658536586
39,40,27.934005670464828,1080.181233933162,891.620822622108,181.37789203084833,439.81619537275066
40,41,33.40126912634102,1056.4235294117648,907.7058823529412,289.91657754010697,584.2213903743316
41,42,18.70555411795854,1201.4443396226416,1067.1584905660377,152.4358490566038,506.2537735849057
42,43,9.753041596124145,502.82504388531305,538.5394967817438,141.7940315974254,339.38911644236396
43,44,38.487495997840185,1122.3409395973154,704.6107382550335,258.5731543624161,459.54093959731546
44,45,27.286084290655396,1053.53738317757,897.4233644859813,230.2018691588785,577.4644859813084
45,46,27.992817884678953,1146.2497551420176,944.4995102840353,199.74730656219393,560.0793339862879
46,47,36.889354493083815,1044.5330261136712,678.3809523809524,195.62826420890937,511.16436251920123
47,48,41.24163699661165,1170.639263803681,786.963190184049,266.1030674846626,528.6760736196319
48,49,42.429627977594365,1230.3753943217666,1059.4027339642482,199.67718191377497,403.31230283911674
49,50,5.311201827288197,565.0185185185185,460.2916666666667,142.2037037037037,467.3796296296296
50,51,38.89189096924319,1009.5487465181059,912.458913649025,208.52228412256267,433.3398328690808
51,52,22.929736140462357,1236.685475444096,1021.7460815047021,207.06896551724137,473.5005224660397
52,53,26.162560585418344,916.4757062146892,1052.4915254237287,216.06892655367233,555.445197740113
53,54,37.58571598173089,1248.465367965368,1099.3549783549784,177.5151515151515,392.3365800865801
54,55,20.094466814908593,1243.9175757575758,816.0375757575757,148.45333333333335,494.0327272727273
55,56,41.88452891679123,972.6462128475551,589.0431447746884,173.25503355704697,614.4621284755513
56,57,47.286958275950916,1100.4558058925477,707.6455805892548,176.5415944540728,368.15857885615253
57,58,19.26819502084976,1066.8007712082263,1006.5462724935733,158.84190231362467,474.09768637532136
58,59,50.291462157478186,1384.4124343257442,1048.284588441331,187.2320490367776,429.2057793345009
59,60,12.687269499910562,726.0475138121546,602.0375690607735,155.6596685082873,416.9524861878453
60,61,17.906842900759322,538.9733502538071,539.6434010152284,181.26142131979697,436.56091370558374
61,62,36.44420478730304,1325.6821885913853,852.9452852153667,203.27124563445867,503.64377182770664
62,63,43.36672771089037,1147.8957055214723,857.0132924335378,256.9948875255624,424.3394683026585
63,64,42.28406025604331,1035.7833190025794,700.5511607910576,188.01547721410145,477.7876182287188
64,65,26.34875352115132,1034.9209621993127,916.0309278350516,178.46620847651775,566.8545246277205
65,66,37.62296115998685,1258.1543535620053,1063.5356200527704,179.72031662269129,433.1609498680739
66,67,48.19261049987911,1134.5037128712872,548.1831683168317,221.89975247524754,392.56311881188117
67,68,22.060788903105347,1134.1846965699208,846.4604221635884,191.57387862796833,564.8271767810027
68,69,43.674557088860084,1025.1091703056768,835.5196506550218,218.87772925764193,454.12227074235807
69,70,29.499442192159584,1323.4500723589001,1019.2199710564399,201.67583212735167,442.1287988422576
70,71,8.542307697165727,697.4141749723145,667.7320044296788,149.67774086378736,312.9745293466224
71,72,56.943354714866175,1146.4615384615386,793.6593406593406,204.10361067503925,485.01412872841445
72,73,43.148579726870864,1127.5892857142858,840.0416666666666,173.40873015873015,382.87103174603175
73,74,17.617597251886664,1131.1359466221852,883.812343619683,174.8557130942452,429.4378648874062
74,75,55.85375568326993,1115.6297262059975,488.0117340286832,174.39634941329857,434.7705345501956
75,76,57.530271641337656,1077.2963311382878,740.934148635936,203.46942615239888,443.36030103480715
76,77,16.754606540927767,554.4814814814815,707.2716049382716,181.42151675485007,440.010582010582
77,78,29.282822775173255,1131.1475211608222,991.7472793228537,166.05199516324063,478.1680773881499
78,79,42.14778091022404,1077.1451863354037,730.9642857142857,247.2360248447205,556.3144409937888
79,80,50.16045327043315,1323.7987421383648,1148.3974842767295,195.5295597484277,450.7635220125786
80,81,11.812374872297678,944.7150259067357,841.2512953367876,210.35945595854923,392.3264248704663
81,82,41.872238266309274,1174.6965761511217,979.3671782762692,204.52656434474616,375.1582054309327
82,83,35.870438289561356,1212.5730941704037,875.2035874439462,187.26367713004484,397.3399103139013
83,84,53.836505489900766,1147.876747141042,556.9313850063533,147.04701397712833,474.7789072426938
84,85,47.67170297115507,1373.6620155038759,865.2651162790697,198.0480620155039,435.27441860465115
85,86,46.64317339226696,962.0236559139785,723.2602150537634,191.46666666666667,580.6043010752688
86,87,14.25581988246156,871.5,766.5580046403712,157.73897911832947,403.1102088167053
87,88,53.49173699455597,707.7577464788733,539.6859154929577,152.50281690140844,396.96338028169015
88,89,30.54033098850308,1191.1228571428571,786.9133333333333,163.34761904761905,494.79333333333335
89,90,37.08377658816207,1230.2090800477897,1027.573476702509,201.18757467144565,533.9283154121864
90,91,52.92188297544835,968.7450365726228,653.9749216300941,226.8746081504702,437.4430512016719
91,92,24.714784040183165,905.1794657762938,925.661101836394,266.118530884808,477.5734557595993
92,93,62.02299663282764,798.6196990424077,753.7961696306429,197.17236662106703,463.7824897400821
93,94,6.921858624087395,708.0864440078585,614.9037328094303,160.90766208251475,355.7465618860511
94,95,35.358422933285375,911.6116504854369,730.5187239944521,173.0235783633842,469.0929264909847
95,96,64.91481242552086,917.0646950092422,566.9722735674676,171.75600739371535,403.82624768946397
96,97,43.09101972284407,1164.5351137487637,823.5489614243323,168.24727992087043,493.5252225519288
97,98,62.73480250896458,1199.105882352941,738.2258823529412,181.39882352941177,477.5905882352941
98,99,21.33976014298501,960.6985915492958,699.0478873239437,189.62394366197182,503.59154929577466
99,100,50.839047561848275,962.8808373590982,995.3123993558776,212.78099838969405,471.99194847020937
100,101,70.6464072633923,950.939150401837,579.7141216991963,155.83811710677384,384.8105625717566
101,102,39.40327481878939,1099.151724137931,688.7322884012539,203.16865203761756,392.3548589341693
102,103,7.059706522132495,893.3567567567568,825.3581081081081,168.1135135135135,330.3
103,104,31.054517451273334,1116.1348039215686,938.9987745098039,199.64154411764707,541.4932598039215
104,105,64.10082836790673,962.4798387096774,581.5551075268817,203.9771505376344,401.36021505376345
105,106,68.87646432355527,758.54296875,605.728515625,174.134765625,495.091796875
106,107,69.53849451709351,932.0947775628626,542.4332688588008,214.6769825918762,428.0135396518375
107,108,10.47570517742916,797.3095238095239,921.4688644688645,191.45604395604394,478.8232600732601
108,109,61.70448946323682,976.7287671232876,627.0219178082192,194.11780821917807,430.1205479452055
109,110,68.19995320922303,895.6482084690554,581.0618892508144,158.72312703583063,466.2442996742671
110,111,39.55193531809161,1048.7965056526207,837.8221993833505,205.77800616649537,365.8818088386434
111,112,68.83376178745523,1096.0930427493713,501.9086336965633,166.44928751047777,432.44593461860853
112,113,24.143263706838194,875.327485380117,746.6856725146199,189.24561403508773,426.12280701754383
113,114,55.82747622750026,1126.7173447537473,666.8854389721628,221.2152034261242,403.3982869379015
114,115,54.3537367866012,1173.7216374269005,736.8105263157895,197.68421052631578,430.4514619883041
115,116,73.7327463890063,1182.2540983606557,929.851288056206,238.24121779859485,424.3629976580796
116,117,62.94517021730336,1346.6654545454546,849.8121212121212,169.70666666666668,395.63151515151515
117,118,74.87651733599839,987.555667001003,514.4954864593782,167.69709127382146,429.1173520561685
118,119,64.61202295979197,923.8298507462687,479.0149253731343,153.6776119402985,464.5626865671642
119,120,63.88885499862976,1092.0423913043478,683.5065217391304,203.7336956521739,496.5130434782609
120,121,59.386305641309285,1163.3770053475937,793.0,247.05347593582889,397.5614973262032
121,122,77.4197356881151,1384.771002710027,812.7628726287263,195.5840108401084,426.79539295392954
122,123,52.3978992355066,792.3694874851013,674.5971394517283,199.77473182359952,537.6805721096543
123,124,52.808165970907545,807.8792569659443,536.6950464396285,203.20743034055727,435.09597523219816
124,125,18.310434778096848,851.3006583760058,908.3628383321142,166.63130943672274,477.6196049743965
125,126,71.8394028502561,1181.9867211440246,495.1276813074566,165.5812053115424,482.8437180796731
126,127,79.49835285355901,1247.295045045045,740.7443693693693,183.42567567567568,528.563063063063
127,128,8.191959571857753,919.0240549828179,795.5841924398626,169.24742268041237,526.5463917525773
128,129,33.32712015905414,837.7587719298245,702.859649122807,200.5438596491228,396.5701754385965
129,130,24.167799282687913,1108.5721212121211,708.3987878787879,166.92969696969698,468.8509090909091
130,131,76.36147059377214,1156.9679633867277,291.3009153318078,144.07551487414187,416.0686498855835
131,132,36.5857644022504,985.8044485634847,768.2557924003708,165.04819277108433,542.9740500463392
132,133,76.30930264165603,1001.2673267326733,592.4514851485148,193.18745874587458,420.560396039604
133,134,14.524864832958874,923.930790960452,1073.3728813559321,224.67090395480227,404.6694915254237
134,135,42.38175968905911,864.4305220883534,817.1590361445783,180.82891566265062,424.7140562248996
135,136,84.9460433034153,1100.0385514018692,589.2102803738318,191.40070093457945,424.8457943925234
136,137,74.60888537920928,1064.7994100294986,473.5142576204523,163.75614552605703,418.81514257620455
137,138,8.782473258531168,507.7161654135338,701.8110902255639,139.9154135338346,366.1156015037594
138,139,63.64039199725556,1189.3649754500818,777.4779050736497,182.33060556464812,439.0810147299509
139,140,31.403353123279945,851.6561797752809,761.2595505617977,201.49550561797753,497.53370786516854
140,141,22.57930552526829,721.8379790940767,641.567944250871,209.22473867595818,486.5331010452962
141,142,70.8941281018429,1161.4143389199255,698.8519553072625,181.3240223463687,387.4227188081937
142,143,66.82811754413511,531.803738317757,319.1789052069426,148.75033377837116,399.20694259012015
143,144,89.74243405907163,1100.062034739454,497.63399503722087,168.2890818858561,430.28287841191064
144,145,32.77486618193517,1002.1397306397306,733.9318181818181,208.27777777777777,488.9301346801347
145,146,47.18617407508344,1199.233468972533,713.207527975585,193.97812817904375,526.560528992879
146,147,80.88063451872358,1010.0983263598326,781.4163179916318,204.02928870292888,433.52928870292885
147,148,88.60346934058607,858.4747023809524,450.90625,156.9672619047619,401.2767857142857
148,149,85.33932505449935,965.4283819628647,608.315649867374,149.59283819628646,368.50663129973475
149,150,22.215344546034093,884.5121255349501,911.1676176890157,225.7660485021398,406.60841654778886
150,151,85.01024342526367,1089.0218340611355,381.4943231441048,148.39650655021833,350.93362445414846
151,152,88.19704825561212,1241.605823068309,615.8454647256439,162.1444568868981,492.3706606942889
152,153,90.36793754155786,1256.854700854701,664.6623931623932,164.54166666666666,440.38461538461536
153,154,91.34115802704198,1113.0235294117647,374.99159663865544,146.0,405.1344537815126
154,155,11.180993811247127,1026.9366827253957,1104.291810048176,186.62560220234,425.77770130763935
155,156,91.30747745740777,1120.2562091503269,675.5633986928104,156.7202614379085,455.31111111111113
156,157,79.64862186142294,977.5409556313994,581.0136518771332,230.51535836177473,437.23549488054607
157,158,85.95647865075082,1199.615987460815,553.2006269592476,161.56739811912226,436.94514106583074
158,159,26.29974065889367,1091.6600633914422,919.8549920760697,195.83835182250397,501.82250396196514
159,160,72.87773223671518,1005.6901595744681,697.0598404255319,166.84308510638297,375.26063829787233
160,161,40.04559916861407,1071.8228782287822,877.9950799507995,216.01968019680197,437.10455104551045
161,162,54.2611670878715,1035.7604166666667,720.00390625,173.59765625,374.0403645833333
162,163,9.101408814991427,539.8091482649842,608.6041009463722,230.19242902208202,596.2839116719243
163,164,46.85571755363605,926.4983870967742,974.7354838709678,280.3758064516129,450.31774193548387
164,165,96.39191495781832,743.0361173814898,418.8487584650113,166.196388261851,441.5507900677201
165,166,86.9508330648966,1285.5033783783783,465.2950450450451,154.14414414414415,313.7804054054054
166,167,80.14698810580603,1082.4149831649831,565.3745791245791,176.21632996632997,429.59090909090907
167,168,41.56591471492891,840.6824712643678,724.948275862069,167.8132183908046,394.5833333333333
168,169,65.55101059391198,931.8941908713693,504.7655601659751,187.17634854771785,666.3340248962655
