,cell_id,distance,channel_1,channel_2,channel_3,channel_4
115,116,28.539517758859404,1506.617256637168,935.1803097345132,165.18915929203538,446.2179203539823
116,117,39.74894887767945,1430.0351048269138,1610.4388103364213,164.81326182350074,552.5265724037055
117,118,10.679594790712995,1128.2149859943977,868.9026610644257,263.8004201680672,537.5889355742297
118,119,73.67244382004463,1365.553459119497,1772.103424178896,160.62438853948288,532.400069881202
119,120,49.720106549209646,1460.6891747052518,965.5037513397642,150.7406216505895,422.5332261521972
120,121,31.01653380541806,1156.896408839779,982.4703038674033,166.97306629834253,530.6415745856353
121,122,5.294479223383658,870.8941176470588,805.2970588235294,192.6985294117647,744.8426470588236
122,123,57.186926426758426,1409.1403314917127,1289.3939226519337,170.86187845303868,824.1790055248619
123,124,11.229224796383065,936.2867256637168,631.2761061946902,218.27256637168142,736.8300884955752
124,125,46.89170663183352,1426.8641840087623,1784.5076670317635,186.33515881708652,659.8198247535597
125,126,78.04975543771674,1171.3343949044586,739.6326963906582,148.3911889596603,449.6380042462845
126,127,22.00205337715174,1125.9807692307693,937.0961538461538,177.02403846153845,682.1670673076923
127,128,64.0328282605754,1255.142345568487,889.170993733214,148.727842435094,441.6790510295434
128,129,31.31222018586968,1342.2870216306155,814.9209650582362,173.6198003327787,537.7171381031613
129,130,10.174231553867486,959.4775219298245,706.0986842105264,207.66831140350877,703.0537280701755
130,131,39.91709928955982,1433.3600214938206,1801.2256851155294,177.6947877485223,619.6829661472327
131,132,28.556757108937866,1279.4386174016686,827.792610250298,170.99642431466032,498.9410011918951
132,133,41.66011424135614,1457.3196721311476,1294.7773224043715,163.11475409836066,623.1898907103825
133,134,26.150233856152056,1403.7189988623436,926.7349260523322,177.08191126279863,552.7724687144482
134,135,5.561462045157901,1198.698113207547,1800.18293683347,226.78014766201804,591.487284659557
135,136,22.674042461712542,1073.8861439312568,564.0343716433943,178.8216970998926,491.5531686358754
136,137,53.967394548075646,1532.2428515471993,2565.104582843713,172.41284763023893,597.4414414414415
137,138,88.45068057671277,1277.795422699673,658.7174217655302,145.0261560018683,457.83559084539934
138,139,88.32725140332022,1080.2740298507463,886.5241791044776,164.8489552238806,961.5385074626865
139,140,32.736527114761316,1391.9554300062775,776.4036409290646,178.72253609541744,634.0351537978656
140,141,38.21081788988229,1358.9864448552064,1324.6672828096118,166.37584719654959,732.2655576093654
141,142,65.06911239605539,1523.9492234169654,2287.1666666666665,173.57825567502988,758.1941457586619
