,distance,mean,sd
0,0.0,1.0,0.0
1,11.650269783069096,0.7464169512876542,0.04343020687984748
2,23.30053956613819,0.5337825117221304,0.03328273318240923
3,34.95080934920729,0.3743288675281742,0.04950169357347701
4,46.60107913227638,0.24500367252763083,0.0287351024767957
5,58.251348915345474,0.12949629375656496,0.02426444542320045
6,69.90161869841458,0.0672919366028471,0.021022221717008096
7,81.55188848148367,0.025053127811978226,0.017391875523110653
8,93.20215826455276,0.017362944166187506,0.016567923648996122
9,104.85242804762186,0.027255269567788256,0.011029684069645282
10,116.50269783069095,0.02003130032475415,0.004781518387415531
11,128.15296761376004,0.016460621987099938,0.01740333275117707
12,139.80323739682916,0.035729191613540046,0.01844816525038043
13,151.45350717989825,0.03877560486112741,0.02179353892202032
14,163.10377696296734,0.04265914924593128,0.015105752466039865
15,174.75404674603644,0.04362942476369927,0.02313262574823317
16,186.40431652910553,0.08632821049267897,0.03636436673526507
17,198.05458631217462,0.05767840345444811,0.022465549709107392
18,209.7048560952437,0.07853134621714973,0.05037479088542227
19,221.3551258783128,,
