,distance,mean,sd
0,0.0,1.0,0.0
1,8.296739119909008,0.750782826163552,0.01454611022587935
2,16.593478239818015,0.5811994721146466,0.014261220530169361
3,24.890217359727025,0.48964081961977274,0.05735402160018771
4,33.18695647963603,0.3863816622554861,0.09142830144833958
5,41.48369559954504,0.2942166417125525,0.048771411389764784
6,49.78043471945405,0.25896234823278136,0.044808063457398496
7,58.077173839363056,0.20538543669907336,0.04517736794560619
8,66.37391295927206,0.17314486255132713,0.014823021748443807
9,74.67065207918107,0.14936825674127677,0.030780349464412517
10,82.96739119909007,0.09575246000491004,0.018027585084719886
11,91.26413031899908,0.0956490047268318,0.02584331065676285
12,99.5608694389081,0.06991498016159998,0.01655539605570991
13,107.8576085588171,0.09495473002886383,0.019700065671887142
14,116.15434767872611,0.07050452786734183,0.044180001519800796
15,124.45108679863512,0.06964881192896956,0.05390967457926246
16,132.74782591854412,0.043212047368549576,0.05770435135651385
17,141.04456503845313,0.1575852689429198,0.08816050536451403
18,149.34130415836214,0.052001164260365794,0.052001164260365794
19,157.63804327827114,,
