,distance,mean,sd
0,0.0,1.0,0.0
1,21.41592926843232,0.7799007484821262,0.0
2,42.83185853686464,0.6344834607964768,0.0
3,64.24778780529695,0.592418996955987,0.0
4,85.66371707372927,0.49835020547489234,0.0
5,107.0796463421616,0.4801009220441398,0.0
6,128.4955756105939,0.3996894068887467,0.0
7,149.91150487902624,0.3392161106773387,0.0
8,171.32743414745855,0.3107648409612772,0.0
9,192.74336341589085,0.31619794376467397,0.0
10,214.1592926843232,0.27128831875497833,0.0
11,235.5752219527555,0.25517143705510087,0.0
12,256.9911512211878,0.24176241953744512,0.0
13,278.4070804896201,0.22436578413219274,0.0
14,299.8230097580525,0.21124778679663278,0.0
15,321.2389390264848,0.1771694549123436,0.0
16,342.6548682949171,0.1850836007695271,0.0
17,364.0707975633494,0.20450688980979953,0.0
18,385.4867268317817,0.1504669247732926,0.0
19,406.902656100214,,
