,distance,mean,sd
0,0.0,1.0,0.0
1,41.75963948961405,0.8408049234778021,0.013246387549128873
2,83.5192789792281,0.706060205777338,0.019177405842430263
3,125.27891846884216,0.5846013874104968,0.03304461401860629
4,167.0385579584562,0.48510165488241025,0.034797984105550114
5,208.79819744807025,0.4044378129800863,0.029384209517863254
6,250.55783693768433,0.35190756159587727,0.038274915446980244
7,292.31747642729835,0.30189509923209507,0.046741576180301926
8,334.0771159169124,0.27154609820555076,0.044377229338337466
9,375.8367554065265,0.24575665737381538,0.04740150846518456
10,417.5963948961405,0.243399461022801,0.03687990598650377
11,459.3560343857546,0.2356633490891678,0.03979058989926501
12,501.11567387536866,0.2333337790615732,0.038194663148790886
13,542.8753133649827,0.2389196225112785,0.04097844273610272
14,584.6349528545967,0.24093595016821828,0.04848416952245794
15,626.3945923442108,0.2670883822680447,0.04005412461461066
16,668.1542318338248,0.283142899566463,0.056580064490343175
17,709.9138713234389,0.30380129461388594,0.04914547829873871
18,751.673510813053,0.2755081998421228,0.06727237158831487
19,793.4331503026671,,
