,cell_id,distance,channel_1,channel_2,channel_3
0,1,0.4965241200673673,339.2594900849858,115.78243626062323,101.01699716713881
1,2,1.447621705013281,286.8063781321184,106.7369020501139,101.20501138952164
2,3,0.11390162631429916,339.8000947418285,112.54855518711511,101.73282804358124
3,4,1.2911288658304616,264.60677966101696,104.13627118644068,101.27389830508474
4,5,2.3381193795729818,362.09509658246657,127.04011887072808,100.67904903417534
5,6,5.891544724981852,278.9113530326594,109.39782270606531,101.07433903576982
6,7,6.2308434066074145,406.7550471063257,130.88200986989682,101.9062359802602
7,8,8.596046031390042,374.31830443159924,114.79537572254335,102.1364161849711
8,9,9.884628441789754,337.6505392912173,109.92449922958397,101.28751926040061
9,10,9.269867491144995,336.797520661157,109.0257116620753,101.66758494031221
10,11,7.708910847942176,293.7208672086721,117.57949412827462,100.84733514001806
11,12,9.091633352985749,324.75110456553756,109.80559646539028,101.4941089837997
12,13,8.81385621677392,376.1670190274841,123.81042988019732,101.28224101479915
13,14,7.463046470315001,254.15495495495495,114.44324324324324,100.81216216216217
14,15,9.268450308207457,283.20553935860056,112.55733722060252,101.52478134110787
15,16,16.70687479129725,453.62581344902384,121.41702819956616,101.56073752711497
16,17,8.014352913773322,246.64381520119224,109.88077496274218,100.9198956780924
17,18,17.441191346702773,437.6463780540077,111.6262323189027,101.04672096013716
18,19,19.558000980565595,335.4686028257457,110.43956043956044,100.74725274725274
19,20,16.96591916448241,363.6863309352518,117.04892086330935,102.14820143884891
20,21,17.437021033838537,326.52162685603616,109.13428018076178,102.02969657843771
21,22,10.66859185421353,429.7310290027811,114.64481525625744,101.79419944378228
22,23,21.953776558708864,338.4858882125069,112.44576646375208,100.95213060320974
23,24,16.257685864654153,324.9609507640068,107.92020373514431,101.66129032258064
24,25,21.787413414122206,338.3832271762208,105.98885350318471,101.3864118895966
25,26,21.42243592200507,312.5378590078329,104.83289817232377,101.05013054830287
26,27,18.414169488693332,322.81455696202534,107.7253164556962,101.27025316455696
27,28,18.730887093791555,465.70801919122687,109.49074708704592,102.39273474982865
28,29,9.39722272537725,355.48489369638196,118.1018276762402,101.77844088026856
29,30,16.838657430916403,398.28582677165355,113.35866141732284,101.46023622047244
30,31,25.24883153323212,441.61556064073227,113.61327231121281,102.10602593440122
31,32,7.149642979218404,256.1999054820416,111.47022684310019,101.36909262759924
32,33,22.13307887000755,363.7147335423198,108.1065830721003,101.60971786833856
33,34,25.499611788234276,358.2837616183707,108.29360306178239,101.36468015308913
34,35,18.2155917199784,263.21226602947036,110.01991238550379,101.60015929908403
35,36,30.041387127918355,299.6709956709957,110.62145262145262,101.39009139009138
36,37,30.242818503799022,338.18012999071493,107.43175487465182,101.05013927576601
37,38,32.07928422941039,439.590248075278,114.31993156544054,101.03036783575706
38,39,33.54248501661633,390.1319018404908,110.06173312883436,101.0920245398773
39,40,32.68015703235611,498.69756097560975,119.74308943089432,101.49647696476964
40,41,26.048571344632876,430.6110154905336,109.26907630522088,101.56282271944923
41,42,22.409412120505465,420.22265625,116.72890625,101.8234375
42,43,12.18746464235196,423.6152959262106,142.7782475019216,101.65488086087625
43,44,8.07777412138017,328.03063919704175,117.31431590068674,101.45166402535658
44,45,35.38989097517965,314.2114537444934,106.23403083700441,101.34966960352423
45,46,34.06354002511482,355.75953505266983,111.9393389030149,101.51907010533962
46,47,7.884607271281025,245.4965940054496,113.12704359673025,100.89782016348774
47,48,40.23929330281893,459.58856167306874,112.31882202304737,101.28595817328211
48,49,30.07076136882046,459.8965760677727,119.77620896576067,101.78256265442994
49,50,33.353438414583024,436.51166128453536,118.65374955148906,101.60889845712235
50,51,22.41536902541649,313.6928682977616,106.91618948464341,100.93753253513795
51,52,34.29064389708713,255.50922693266833,107.05187032418952,101.05286783042393
52,53,42.35155211008845,465.715953307393,109.64591439688716,101.31452658884565
53,54,27.57942191787275,430.22844480257857,113.38960515713134,101.99838839645447
54,55,43.73911247456091,312.8086124401914,106.51892127011745,101.50282731622444
55,56,32.92837046913439,313.63528637261356,106.65964450296248,101.2228439763002
56,57,44.208510542078606,361.89157073895285,112.37690308206462,101.86223542517638
57,58,45.27983287737221,406.6615168539326,114.55898876404494,101.56741573033707
58,59,45.14902080780309,513.736120182887,124.67602873938603,101.78967994774658
59,60,42.48924999451915,392.7509100364015,110.78523140925637,101.51222048881955
60,61,37.12606894477315,493.210235131397,129.54840940525588,102.3582295988935
61,62,8.142224544713727,349.02985074626866,115.36788280818132,101.88805970149254
62,63,27.948462635300857,383.0230635335074,116.72106179286335,101.22236727589208
